Autor e ano,País,Região,Sítio,longitude (m),,latitude (m),,Elevação(m),População/Cultura,Cronologia,Data_absoluta B.P,,cal yr Sim - 1 ou não - 0,,sexo,,,faixa de Idade,,,,,Média de estatura (cm),Violência (o ou1),N_total_id,N_id_afetados,N_id_antimortem,N_ferimentos Antimortem,N_id_perimortem,N_ferimentos Peri-mortem,Anti_Peri,Tr_anterior_ caso,,,,,,,,Tr_posterior_casos,,,,,,,,,,,,,,,,,,,,,,Cabeça troféu,,,,,N_Total_póscrânio,N_afetados,Costela,Vértebras,,,Tórax,Membros superiores,,,,,,,Membros inferiores,,,,Tipo de fratura,,,Forma da fratura,,,,Tipo de Arma,,Tipo de Evento,,,,,,,Nutricionais,,,Infecciosas,,Congênitas,Ambientais,,Dentes,,,nutricionais,,infecciosas,,Congênitas,Ambientais,,,,,,,Cultura material,Iconografia_V,Petrografia_V,Ev_Fortificação,Sítio Agrupado,Org_sociopolítica,Pad_Assentamento,Clima,Carc_Geografica,Estrg_subsistencia
,,,,Leste,Oeste,Norte,Sul,,,,De,Até,,Lab,M,F,Nid,Adultos,Jovem Adulto,Sub-adultos,Senil,Nid,,,,,,,,,,Total_anterior,Antimortem_anterior,Perimortem_anterior,Nasal,Maxilar,Boca_mandibula,Frontal,Sutura_frontozigomática,Total_posterior,Antimortem_posterior,Perimortem_posterior,Occipital,Pariental total,Parietal E,Pariental D,Pterion,Total_Lateral,Antimortem_Lateral,Perimortem_Lateral,Lateral E,Lateral D,Zigomático,Processo_Zigomático D,Processo_Zigomático_E,Temporal total,Temporal E,Temporal D,Tr_superior,Antimortem_superior,Perimortem_superior,presença,N_Cabeça troféu,N_cabeça troféu com trauma,N_id_antimortem,N_id_Perimortem,,,,Lombares,Toráxicas,Cervicais,,Total,Glenoid,húmero,radio,ulna,Acetabulo,escápula,Femur,Tíbia,Fíbula,,Depressiva,Perfurante,Cortante,Circular,,Flecha_Projétil,Lâmina,Corpo,Exten_corpo,Agressão interpessoal,Rading_invasão,guerra,canibalismo,Ritual,Acidental/Laboral,Achatamento (qt de individuos),Total_Patologias,cribia orbitaria,Hiperostosis porotica,periostiti,osteomielite,,,Exostóse_ouvido,Caries,Hipoplasia linear,Reabsorção aveolar,cribia orbitaria,Hiperostosis porótica,periostiti,osteomeliti,Fusão nas vertebras,,Osteoporose,Exostose,Osteofitose,Espodilose,Osteoartrite,Padr.Funerário,,,,,,,,,,
Torres-Rouff e Costa 2006,Chile,San Pedro de Atacama,Catarpe1_2,575922.00 ,,,7452929.00 ,2450,Atacamenhos,HT,550,418,0,NA,1,0,0,1,0,0,0,0,,1,143,5,5,,0,,,4,,,2,,0,2,,0,,,0,2,1,1,,2,,,,,0,,,0,0,0,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,0,,,,Desértico,Oases,agricultura de pequena escala
Torres-Rouff e Costa 2006,Chile,San Pedro de Atacama,Catarpe1_2,575922.00 ,,,7452929.00 ,2450,Atacamenhos,HT,550,418,0,NA,0,1,0,1,0,0,0,0,,1,63,2,2,,0,,,1,,,1,,0,0,,0,,,0,0,0,0,,1,,,,,0,,,0,0,1,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,,,,,,,,,,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,0,,,,Desértico,Oases,agricultura de pequena escala
Pacheco e Retemal 2017,Chile,Tarapacá,Pica 8,463186.00,,,7733608.00,1395,Tarapacá phase,PIT,1050,670,0,NA,1,0,0,1,0,0,0,0,,1,29,4,4,,0,,,5,,,3,,0,2,,0,,,0,0,0,0,,0,,,,,0,,,0,0,0,,,,,,,,,,,1,,,,0,0,,0,0,0,,0,,,,,,,,,,1,0,1,1,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,Evidência de flecha embebida em uma costela de 1 individuo,,,1,,,,Desértico,Oases,
Pacheco e Retemal 2017,Chile,Tarapacá,Pica 8,463186.00,,,7733608.00,1395,Tarapacá phase,PIT,1050,670,0,NA,0,1,0,0,0,0,0,0,,1,38,2,2,,0,,,1,,,0,,0,1,1,0,,,0,0,0,0,1,1,,,,,1,1,,0,0,0,,,,,,,,,,,0,,,,0,0,,0,0,0,,0,,,,,2,1,,1,,0,0,1,1,1,,0,0,0,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,1,,,,Desértico,Oases,
Standen and Santoro 2004,Chile,Vale de Azapa ,Acha-3,365553.71,,,7954602.00,95,Vinculado a Chinchorro,Arcaico,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tung 2007 e Tung 2012,Peru,Ayacucho,Conchopata,579248.86,,,8545412.33,2839,Pré-Wari Huarpa,PIP,1700,1350,0,NA,1,0,0,1,0,0,0,0,,1,1,1,1,,0,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,1,,,,,1,0,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,,,Frio de Montanha,Vale,
Tung 2007 e Tung 2012,Peru,Ayacucho,Conchopata,579248.86,,,8545412.33,2839,Pré-Wari Huarpa,PIP,1700,1350,0,NA,0,1,0,0,0,0,1,0,,0,4,2,2,,0,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,9,,0,0,2,0,0,3,,0,2,1,,0,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,,,Frio de Montanha,Vale,
Tung 2007 e Tung 2012,Peru,Ayacucho,Conchopata,579248.86,,,8545412.33,2839,Pré-Wari Huarpa,PIP,1700,1350,0,NA,0,0,1,1,0,0,0,0,,0,6,0,0,,0,,,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,,,Frio de Montanha,Vale,
"Tung 2007, Tung 2012, Tung 2008",Peru,Ayacucho,Conchopata,579248.86,,,8545412.33,2839,Wari,HM,1300,1150,0,NA,1,0,0,1,0,0,0,0,,1,14,4,4,,0,,,2,,,NA,NA,NA,NA,NA,4,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,1,,,1,17,8,7,1,0,,0,0,0,0,0,0,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,Estado,,Frio de Montanha,Vale,
Tung 2007 e Tung 2012,Peru,Ayacucho,Conchopata,579248.86,,,8545412.33,2839,Wari,HM,1300,1150,0,NA,0,1,0,1,0,0,0,0,,1,25,6,6,,0,,,0,,,NA,NA,NA,NA,NA,7,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,2,,,,,,,,0,,0,0,0,0,0,0,,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,Estado,,Frio de Montanha,Vale,
