valley,site,tomb,unique_ID,period,sex,probable_sex ,dimorphism_index,age_categ,peri-mortem,#_peri,overkill,anterior/posterior ,facial,facial_sector,parietal,parietal_sector,temporal,temporal_sector,occipital,occipital_sector,ante-mortem,#_ante,anterior/posterior ,facial,facial_sector,parietal,parietal_sector,temporal,temporal_sectr,occipital,sum_traumas,trauma,critical_trauma,AMS Subset,valley,site,tomb,unique_ID,mod_cranium,mod_style,C14_RangeBP,Cal_medianBP,C14_RangeAD,main_period,phase
Aja,Ayaorcco,C2,Cr46,LIP,Female,probable ,11,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Aja,Ayaorcco,C4,Cr83,Y,AO,651 - 568 ,598,1299 - 1382,LIP,PIII
Aja,Ayaorcco,C2,Cr47,LIP,Female,,9,Adolescent,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C1,Cr84,Y,AO,625 - 543     ,656,1295 - 1399,LIP,PIII
Aja,Ayaorcco,C3,Cr48,LIP,Ind,,11,Old Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C1,Cr85,Y,AO,641 - 560    ,604,1309 - 1390,LIP,PIII
Aja,Ayaorcco,C3,Cr49,LIP,Female,,8,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C1,Cr86,Y,AO,647 - 560   ,605,1272 - 1391,LIP,PIII
Aja,Ayaorcco,C3,Cr50,LIP,Male,,15,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C1,Cr88,Y,AO,639 - 560     ,604,1311 - 1390,LIP,PIII
Aja,Ayaorcco,C3,Cr51,LIP,Male,,15,Young Adult,N,0,N,,,,,,,,,,Y,1,P,X,L,,,,,,1,Y,N,,Tierras Blancas,Ayapata,C1,Cr89,Y,AO,633 - 559    ,607,1317 - 1391,LIP,PIII
Aja,Ayaorcco,C3,Cr52,LIP,Female,,7,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C1,Cr90,Y,AO,646 - 561   ,603,1304 - 1389,LIP,PIII
Aja,Ayaorcco,C3,Cr53,LIP,Female,,6,Old Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C1,Cr91,Y,AO,635 - 559   ,605,1315 - 1391,LIP,PIII
Aja,Ayaorcco,C3,Cr54,LIP,Ind,,9,Middle Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C1,Cr92,Y,AO,653 - 569    ,598,1297 - 1381,LIP,PIII
Aja,Ayaorcco,C3,Cr55,LIP,Male,,17,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C1,Cr93,Y,AO,657 - 571    ,602,1293 - 1379,LIP,PIII
Aja,Ayaorcco,C3,Cr56,LIP,Male,,15,Middle Adult,N,0,N,,,,,,,,,,Y,2,AP,X,R,X,R,,,X,2,Y,Y,,Tierras Blancas,Ayapata,C1,Cr97,Y,AO,635 - 559   ,605,1315 - 1391,LIP,PIII
Aja,Ayaorcco,C3,Cr57,LIP,Male,,15,Middle Adult,Y,1,N,P,,,X,L,,,,,N,0,,,,,,,,,1,Y,Y,,Tierras Blancas,Ayapata,C1,Cr98,Y,AO,668 - 575    ,652,1282 - 1375,LIP,PIII
Aja,Ayaorcco,C3,Cr58,LIP,Female,,6,Adolescent,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C1,Cr99,Y,AO,662 - 573  ,638,1288 - 1377,LIP,PIII
Aja,Ayaorcco,C3,Cr59A,LIP,Male,probable ,11,Young Adult,N,0,N,,,,,,,,,,N,0,,,,,,,,,0,N,N,,Tierras Blancas,Ayapata,C1,Cr102,Y,AO,627 - 555      ,610,1323 - 1395,LIP,PIII
Aja,Ayaorcco,C3,Cr59B,LIP,Ind,,12,Middle Adult,N,0,N,,,,,,,,,,Y,1,P,,,X,L,,,,1,Y,N,,Tierras Blancas,Ayapata,C1,Cr104,Y,AO,681 - 662      ,674,1269 - 1288,LIP,PII
