autor_ano;pais;regiao;sitio;status_mortuario;contx_violencia;lat;long;elevação_m;Fact_elev;cultura;cronologia;data_absBP_ inicial;data_absBP_final;sexo;fx_idade;n_id;n_id_afetados;n_id_naoafetados;n_fr_afetados;n_id_antimortem;n_les_antimortem;n_id_perimortem;n_les_perimortem;anti_peri;n_tr_anterior;n_antimortem_anterior;n_perimortem_anterior;nasal;maxilar;boca_mandibula;frontal;sutura_frontozigomatica;n_tr_posterior;n_antimortem_posterior;n_perimortem_posterior;occipital;n_tr_pariental;parietal_e;pariental_d;pterion;n_tr_lateral;n_antimortem_lateral;n_tr_perimortem_lateral;lateral_e;lateral_d;zigomatico;processo_zigo_d;processo_zigo_e;n_tr_temporal;temporal_e;temporal_d;n_tr_superior;n_antimortem_superior;n_perimortem_superior;n_cabeca_ trofeu;n_cabeca_ trofeu_trauma;n_cabeca_ trofeu_trauma_anti;n_cabeca_ trofeu_trauma_peri;n_postcranio;n_postcranio_afetado;costela;vert_lombares;vert_toráxicas;vert_cervicais;torax;n_membros_superior;glenoid;humero;radio;ulna;acetabulo;escapula;femur;tibia;fibula;frat_depressiva;Frat_Perfurante;frat_cortante;frat_circular;flecha_projetil;arma_lamina;arma_corpo;Outro instrumento;agressão interpessoal;rading_invasao;guerra;canibalismo;ritual;acidental_laboral;n_id_deformacoes;n_patologias;n_cribia_orbitaria;n_hiperostosis_porotica;n_periostiti;infec_osteomielite;n_congenitas;n_exostose_ouvido;n_caries;n_hipoplasia_linear;n_reabsorcao_aveolar;n_poscr_cribia_orbitaria;n_poscr_hiperostosis_porotica;Infec_posCr_periostiti;n_poscr_osteomeliti;n_fusao_vert;n_pt_ambientais;n_osteoporose;n_exostose;n_osteofitose;n_espodilose;n_osteoartrite;padr_funerário;cultura_material;iconografia_v;grafismos_v;ev_fort;estr_sociopolitica;pad_assentamento;bioma;clima;carc_geografica;estrg_subsistencia
Fierro c.1998 apud Dulanto 2016;Peru;Costa central;Cajamarquilla-Tello;;;;;;;Lima tardio;HM;1300;1150;M;adulto;3;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dulanto 2016;Peru;Costa central;Copacabana;;;;;;;Lima tardio;HM;1300;1150;M;adulto;6;3;3;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dulanto 2016;Peru;Costa central;Copacabana;;;;;;;Lima tardio;HM;1300;1150;F;adulto;6;1;5;0,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dulanto 2016;Peru;Costa central;Huaca 20;;;;;;;Lima tardio;HM;1300;1150;M;adulto;30;7;23;0,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dulanto 2016;Peru;Costa central;Huaca 20;;;;;;;Lima tardio;HM;1300;1150;F;adulto;22;5;17;0,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dulanto 2016;Peru;Costa central;Ancon;;;;;;;Lima tardio;HM;1300;1150;M;adulto;5;4;1;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dulanto 2016;Peru;Costa central;Ancon;;;;;;;Lima tardio;HM;1300;1150;F;adulto;4;1;3;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wi?ckowski 2014 apud Arkush e Tung 2013 e Tung 2021;Peru;Costa central;El Castillo de Huarmey;;;;;;;Wari;HM;1300;1150;M;adulto;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wi?ckowski 2014 apud Arkush e Tung 2013 e Tung 2021;Peru;Costa central;El Castillo de Huarmey;;;;;;;Wari;HM;1300;1150;F;adulto;53;0;53;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rojas-Sepúlveda and Dutour 2009 apud Arkush e Tung 2013 e Tung 2021;Peru;Costa central;Ancon I;;;;;;;Wari;HM;1300;1150;M;adulto;48;2;46;0,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rojas-Sepúlveda and Dutour 2009 apud Arkush e Tung 2013 e Tung 2021;Peru;Costa central;Ancon I;;;;;;;Wari;HM;1300;1150;F;adulto;63;2;61;0,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vega 2004 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;Miraflores 3A;;;;;;;Late Nazca-Wari;PIP_HM;1650;1200;M;adulto;12;4;8;0,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vega 2004 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;Miraflores 3A;;;;;;;Late Nazca-Wari;PIP_HM;1650;1200;F;adulto;11;1;10;0,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kellner 2002 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;Las Trancas V;;;;;;;Wari;HM;1300;1150;F;adulto;44;3;41;0,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kellner 2002 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;Las Trancas V;;;;;;;Wari;HM;1300;1150;M;adulto;36;6;30;0,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kellner 2002 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;El Pampon_ La Marcha_ Los Medanos;;;;;;;Nasca_Loro_w_localceramics;HM;1300;1150;M;adulto;28;3;25;0,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kellner 2002 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;El Pampon_ La Marcha_ Los Medanos;;;;;;;Nasca_Loro_w_localceramics;HM;1300;1150;F;adulto;36;2;34;0,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kellner 2002 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;El Pampon_ La Marcha_ Los Medanos;;;;;;;Nasca_ Chakipampa_Burials w_ Wari goods;HM;1300;1150;M;adulto;8;3;5;0,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kellner 2002 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;El Pampon_ La Marcha_ Los Medanos;;;;;;;Nasca_ Chakipampa_Burials w_ Wari goods;HM;1300;1150;F;adulto;8;1;7;0,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tung 2014a;Peru;Ayachucho;Nawinpukio;;;;;;;Wari;HM;1300;1150;M;adulto;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tung 2014a;Peru;Ayachucho;Nawinpukio;;;;;;;Wari;HM;1300;1150;F;adulto;2;1;1;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrushko and Torres 2011;Peru;Cusco;Qotakalli_ Ak'awillay_ Choquepukio_ Cotocotuyoc;;;;;;;Wari;HM;1300;1150;M;adulto;16;3;13;0,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrushko and Torres 2011;Peru;Cusco;Qotakalli_ Ak'awillay_ Choquepukio_ Cotocotuyoc;;;;;;;Wari;HM;1300;1150;F;adulto;16;0;16;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrushko and Torres 2011;Peru;Cusco;Qotakalli_ Ak'awillay_ Choquepukio_ Cotocotuyoc;;;;;;;Wari;HM;1300;1150;NID;adulto;4;0;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauer and Bauer 1984 Verano 2005c;Peru;Cusco;Pikkillacta;;;;;;;Wari;HM;1300;1150;M;adulto;5;1;4;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bauer and Bauer 1984 Verano 2005c;Peru;Cusco;Pikkillacta;;;;;;;Wari;HM;1300;1150;F;adulto;7;0;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Burgess 1999 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;Chiribaya;;;;;;;Chiribaya;PIT;1000;500;NID;adulto;425;2;423;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Williams 1990 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;Estuquiña;;;;;;;Lupaca;PIT;1000;500;M;adulto;60;3;57;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Williams 1990 apud Arkush e Tung 2013 e Tung 2021;Peru;Sul_peru;Estuquiña;;;;;;;Lupaca;PIT;1000;500;F;adulto;43;2;41;0,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verano and Toyne 2011;Peru;Costa central;Punta Lobos;;;;;;;Chimú;PIT;1000;500;M;adulto;121;22;99;0,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verano and Toyne 2011;Peru;Costa central;Punta Lobos;;;;;;;Chancay;PIT;1000;500;M;adulto;2;1;1;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verano and Toyne 2011;Peru;Costa central;Punta Lobos;;;;;;;Chancay;PIT;1000;500;F;adulto;6;5;1;0,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barreto 2014 apud Arkush e Tung 2013 e Tung 2021;Peru;Costa central;Huaca 33-Maranga;;;;;;;Late Ychsma;PIT;1000;500;NID;adulto;26;15;11;0,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chan 2011;Peru;Costa central;Armatambo-H. del Pacífico;;;;;;;Early-Middle Ychsma;PIT;1000;500;M;adulto;11;4;7;0,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dulanto 2016;Peru;Costa central;Armatambo-H. del Pacífico;;;;;;;Early-Middle Ychsma;PIT;1000;500;F;adulto;15;3;12;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dulanto 2016;Peru;Costa central;Armatambo- 22 de Octubre;;;;;;;Middle-Late Ychsma;PIT;1000;500;M;adulto;14;7;7;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dulanto 2016;Peru;Costa central;Armatambo- 22 de Octubre;;;;;;;Middle-Late Ychsma;PIT;1000;500;F;adulto;16;6;10;0,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrushko and Torres 2011;Peru;Cusco;Various LIP sites in_near Cusco;;;;;;;Pre_Inca;PIT;1000;500;M;adulto;77;30;47;0,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrushko and Torres 2011;Peru;Cusco;Various LIP sites in_near Cusco;;;;;;;Pre_Inca;PIT;1000;500;F;adulto;62;8;54;0,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrushko and Torres 2011;Peru;Cusco;Various LIP sites in_near Cusco;;;;;;;Pre_Inca;PIT;1000;500;NID;adulto;60;9;51;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tung 2021;Peru;Nasca;Nasca and Taruga Valleys;;;;;;;Nasca;PIT;1000;500;M;adulto;9;1;8;0,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tung 2021;Peru;Nasca;Nasca and Taruga Valleys;;;;;;;Nasca;PIT;1000;500;F;adulto;5;0;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tung 2021;Peru;Nasca;Nasca and Taruga Valleys;;;;;;;Nasca;PIT;1000;500;NID;adulto;22;2;20;0,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
