autor_ano;pais;regiao;sitio;long_leste_m;lat_sul_m;elevacao_m;cultura;cronologia;data_absBP_ inicial;data_absBP_final;sexo;n_id;n_id_traumas;sem_traumas;fr_traumas;n_id_antimortem;fr_antimortem;n_id_perimortem;fr_perimortem;n_tr_anterior;nasal;frontal;n_tr_posterior;n_tr_pariental;parietal_e;pariental_d;n_tr_lateral;n_antimortem_lateral;n_tr_perimortem_lateral;lateral_e;lateral_d;ev_fort;estr_sociopolitica;clima;carc_geografica
Kurin 2012;Peru;Andahuayalas;Turpo;664896.84 ;8475670.78;3206;Wari;HM;1300;1150;F;5;0;5;0,00;0;0,00;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;
Kurin 2012;Peru;Andahuayalas;Turpo;664896.84 ;8475670.78;3206;Wari;HM;1300;1150;NID;;;0;;;;;;;;;;;;;;;;;;0;Estado;frio_de_montanha;Colina
Kurin 2012;Peru;Andahuayalas;Pucullu;676574.28;8496364.15;3006;Quechua;PIT;950;400;M;15;12;3;0,80;;;;;11;;;2;;;;7;3;4;5;2;0;;frio_de_montanha;Colina
Kurin 2012;Peru;Andahuayalas;Pucullu;676574.28;8496364.15;3006;Quechua;PIT;950;400;F;10;5;5;0,50;;;0;;2;;;8;;;;0;0;0;0;0;0;;frio_de_montanha;Colina
Kurin 2012;Peru;Andahuayalas;Ranracancha;652068.68;8503043.89;3416;Chanka;PIT;950;400;M;19;11;8;0,58;;;;;13;;;5;;;;11;8;3;6;5;0;;frio_de_montanha;Colina
Kurin 2012;Peru;Andahuayalas;Ranracancha;652068.68;8503043.89;3416;Chanka;PIT;950;400;F;17;11;6;0,65;;;;;4;;;4;;;;4;4;0;3;1;0;;frio_de_montanha;Colina
Kurin 2012;Peru;Andahuayalas;Ranracancha;652068.68;8503043.89;3416;Chanka;PIT;950;400;NID;1;1;0;1,00;0;;1;1,00;0;0;0;1;;;;0;0;0;0;0;0;;frio_de_montanha;Colina
Kurin 2012;Peru;Andahuayalas;Cachi;650047.00;8477059.00;319;Chanka;PIT;950;400;M;63;36;27;0,57;;;;;24;;;10;;;;25;13;12;13;12;;;frio_de_montanha;vale
Kurin 2012;Peru;Andahuayalas;Cachi;650047.00;8477059.00;319;Chanka;PIT;950;400;F;72;45;27;0,63;;;;;27;;;11;;;;34;20;14;17;17;;;frio_de_montanha;vale
Kurin 2012;Peru;Andahuayalas;Cachi;650047.00;8477059.00;319;Chanka;PIT;950;400;NID;27;3;24;0,11;;;;;4;;;1;;;;2;1;1;1;1;;;frio_de_montanha;vale
Kurin 2012;Peru;Andahuayalas;Natividad_Museum_collection;659135.65;8478409.38;3049;Chanka;PIT;950;400;M;16;11;5;0,69;;;;;2;;;3;;;;3;3;0;1;2;;;frio_de_montanha;vale
Kurin 2012;Peru;Andahuayalas;Natividad_Museum_collection;659135.65;8478409.38;3049;Chanka;PIT;950;400;NID;3;3;0;1,00;1;0,33;2;0,67;1;;;0;;;;1;0;1;1;0;;;frio_de_montanha;vale
Sacaffidi e Tung 2020;Peru;Vale de Majes;Uraca;759998.72;8204907.90;1173;Wari inicial;HM;1650;1200;M;65;52;13;0,80;48;0,74;5;0,08;67;17;3;21;2;;;22;22;0;;;0;Estado;;vale
Sacaffidi e Tung 2020;Peru;Vale de Majes;Uraca;759998.72;8204907.90;1173;Wari inicial;HM;1650;1200;NID;34;15;19;0,44;15;0,44;0;;14;6;1;8;1;;;1;1;0;;;0;Estado;;vale
Pecheckinna e Delgado 2006;Peru;Vale de Lurín;Villa_El_Salvador_XII;287513.00;8649832.00;115;Villa El Salvador XII;PIP;2050;1850;M;30;6;24;0,20;;;;;;;;;;;;;;;;;0;;deserto;Costa
Pecheckinna e Delgado 2006;Peru;Vale de Lurín;Villa_El_Salvador_XII;287513.00;8649832.00;115;Villa El Salvador XII;PIP;2050;1850;F;31;3;28;0,10;;;;;;;;;;;;;;;;;0;;deserto;Costa
McCool et al 2021;Peru;Vale de Nasca;Ayaorcco;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;M;28;10;18;0,36;7;0,25;3;0,11;;;;1;;;;;;;;;;;;vale
McCool et al 2021;Peru;Vale de Nasca;Ayapata;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;M;54;37;17;0,69;32;0,59;7;0,13;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Vale de Nasca;C. Tribolpata;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;M;9;4;5;0,44;4;0,44;1;0,11;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Vale de Nasca;Ayaorcco;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;F;33;8;25;0,24;6;0,18;3;0,09;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Vale de Nasca;Ayapata;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;F;50;20;30;0,40;16;0,32;8;0,16;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Vale de Nasca;C. Tribolpata;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;F;14;6;8;0,43;5;0,36;2;0,14;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Vale de Nasca;Ayaorcco;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;NID;10;3;7;0,30;3;0,30;0;;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Vale de Nasca;Ayapata;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;NID;6;4;2;0,67;4;0,67;2;0,33;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Vale de Nasca;C. Tribolpata;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;NID;3;0;3;0,00;0;;0;;;;;;;;;;;;;;;;;
