autor_ano;pais;regiao;sitio;status_mortuario;contx_violencia;lat;long;elevação_m;cultura;cronologia;data_absBP_ inicial;data_absBP_final;sexo;fx_idade;n_id;n_id_afetados;n_id_antimortem;n_les_antimortem;n_id_perimortem;n_les_perimortem;anti_peri;n_tr_anterior;n_antimortem_anterior;n_perimortem_anterior;nasal;maxilar;boca_mandibula;frontal;sutura_frontozigomatica;n_tr_posterior;n_antimortem_posterior;n_perimortem_posterior;occipital;n_tr_pariental;parietal_e;pariental_d;pterion;n_tr_lateral;n_antimortem_lateral;n_tr_perimortem_lateral;lateral_e;lateral_d;zigomatico;processo_zigo_d;processo_zigo_e;n_tr_temporal;temporal_e;temporal_d;n_tr_superior;n_antimortem_superior;n_perimortem_superior;n_cabeca_ trofeu;n_cabeca_ trofeu_trauma;n_cabeca_ trofeu_trauma_anti;n_cabeca_ trofeu_trauma_peri;n_postcranio;n_postcranio_afetado;costela;vert_lombares;vert_toráxicas;vert_cervicais;torax;n_membros_superior;glenoid;humero;radio;ulna;acetabulo;escapula;femur;tibia;fibula;frat_depressiva;Frat_Perfurante;frat_cortante;frat_circular;flecha_projetil;arma_lamina;arma_corpo;Outro instrumento;agressão interpessoal;rading_invasao;guerra;canibalismo;ritual;acidental_laboral;n_id_deformacoes;n_patologias;n_cribia_orbitaria;n_hiperostosis_porotica;n_periostiti;infec_osteomielite;n_congenitas;n_exostose_ouvido;n_caries;n_hipoplasia_linear;n_reabsorcao_aveolar;n_poscr_cribia_orbitaria;n_poscr_hiperostosis_porotica;Infec_posCr_periostiti;n_poscr_osteomeliti;n_fusao_vert;n_pt_ambientais;n_osteoporose;n_exostose;n_osteofitose;n_espodilose;n_osteoartrite;padr_funerário;cultura_material;iconografia_v;grafismos_v;ev_fort;estr_sociopolitica;pad_assentamento;bioma;clima;carc_geografica;estrg_subsistencia
Kurin 2012;Peru;Andahuayalas;Turpo;;;-13,7853;-73,4736;3206;Wari;HM;1300;1150;M;adulto;11;2;2;4;0;0;0;3;3;0;0;0;0;2;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kurin 2012;Peru;Andahuayalas;Turpo;;;-13,7853;-73,4736;3206;Wari;HM;1300;1150;F;adulto;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kurin 2012;Peru;Andahuayalas;Turpo;;;-13,7853;-73,4736;3206;Wari;HM;1300;1150;NID;adulto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;330;12;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;Estado;;;frio_de_montanha;Colina;Agricutura
Kurin 2012;Peru;Andahuayalas;Pucullu;;;-13,5959;-73,3679;3006;Quechua;PIT;950;400;M;adulto;15;12;;15;;5;;11;11;0;;;;;;2;1;1;;;;;;7;3;4;5;2;;;;;;;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;frio_de_montanha;Colina;Agricutura
Kurin 2012;Peru;Andahuayalas;Pucullu;;;-13,5959;-73,3679;3006;Quechua;PIT;950;400;F;adulto;10;5;;12;0;0;0;2;2;0;;;;;;8;8;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;2;2;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;frio_de_montanha;Colina;Agricutura
Kurin 2012;Peru;Andahuayalas;Ranracancha;;;-13,5369;-73,5947;3416;Chanka;PIT;950;400;M;adulto;19;11;;22;;9;0;13;8;5;;;;;;5;5;0;;;;;;11;8;3;6;5;;;;;;;1;1;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;frio_de_montanha;Colina;Agricutura
Kurin 2012;Peru;Andahuayalas;Ranracancha;;;-13,5369;-73,5947;3416;Chanka;PIT;950;400;F;adulto;17;11;;9;;4;0;4;2;2;;;;;;4;3;1;;;;;;4;4;0;3;1;;;;;;;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;frio_de_montanha;Colina;Agricutura
Kurin 2012;Peru;Andahuayalas;Ranracancha;;;-13,5369;-73,5947;3416;Chanka;PIT;950;400;NID;adulto;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;frio_de_montanha;Colina;Agricutura
Kurin 2012;Peru;Andahuayalas;Cachi;;;-13,7719;-73,612;319;Chanka;PIT;950;400;M;jovem_adulto;63;36;;43;;21;0;24;17;7;;;;;;10;10;0;;;;;;25;13;12;13;12;;;;;;;4;3;1;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;frio_de_montanha;vale;Agricutura
Kurin 2012;Peru;Andahuayalas;Cachi;;;-13,7719;-73,612;319;Chanka;PIT;950;400;F;jovem_adulto;72;45;;54;;38;0;27;15;12;;;;;;11;4;7;;;;;;34;20;14;17;17;;;;;;;16;15;1;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;frio_de_montanha;vale;Agricutura
Kurin 2012;Peru;Andahuayalas;Cachi;;;-13,7719;-73,612;319;Chanka;PIT;950;400;NID;jovem_adulto;27;3;;2;;5;0;4;1;3;;;;;;1;0;1;;;;;;2;1;1;1;1;;;;;;;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;frio_de_montanha;vale;Agricutura
