autor_ano;pais;regiao;sitio;long_leste_m;lat_sul_m;elevacao_m;cultura;cronologia;data_absBP_ inicial;data_absBP_final;sexo;n_id;n_id_afetados;n_id_antimortem;n_id_perimortem;n_tr_anterior;nasal;frontal;n_tr_posterior;n_tr_pariental;parietal_e;pariental_d;n_tr_lateral;n_antimortem_lateral;n_tr_perimortem_lateral;lateral_e;lateral_d;ev_fort;estr_sociopolitica;clima;carc_geografica
Torres-Rouff e Costa 2006;Chile;San Pedro de Atacama;Toconal oriente;575922.00 ;7452929.00 ;2450;Atacamenhos;PIP;2150;1350;M;60;1;1;0;0;0;0;0;;1;0;1;;;;;0;Tribo;deserto;oases
Torres-Rouff e Costa 2006;Chile;San Pedro de Atacama;Coyo 3_Yaye_Quitor6_Catarpe4_5;575922.00 ;7452929.00 ;2450;Atacamenhos;PIT;950;550;M;128;34;34;2;22;17;5;0;16;11;5;17;;;;;1;;deserto;oases
Torres-Rouff e Costa 2006;Chile;San Pedro de Atacama;Coyo 3_Yaye_Quitor6_Catarpe4_5;575922.00 ;7452929.00 ;2450;Atacamenhos;PIT;950;550;F;99;31;31;0;21;18;3;0;20;10;10;21;;;;;1;;deserto;oases
Torres-Rouff e Costa 2006;Chile;San Pedro de Atacama;Coyo 3_Yaye_Quitor6_Catarpe4_5;575922.00 ;7452929.00 ;2450;Atacamenhos;PIT;950;550;IND;22;1;1;0;0;0;0;0;0;0;0;0;;;;;1;;deserto;oases
Torres-Rouff e Costa 2006;Chile;San Pedro de Atacama;Catarpe1_2;575922.00 ;7452929.00 ;2450;Atacamenhos;HT;550;418;M;143;5;5;0;4;2;2;0;2;1;1;2;;;;;0;;deserto;oases
Torres-Rouff e Costa 2006;Chile;San Pedro de Atacama;Catarpe1_2;575922.00 ;7452929.00 ;2450;Atacamenhos;HT;550;418;F;63;2;2;0;1;1;0;0;0;0;0;1;;;;;0;;deserto;oases
Pacheco e Retemal 2017;Chile;Tarapacá;Pica_8;463186.00;7733608.00;1395;Tarapacá ;PIT;1050;670;M;29;4;4;0;5;3;2;0;0;0;0;0;;;;;1;;deserto;oases
Pacheco e Retemal 2017;Chile;Tarapacá;Pica_8;463186.00;7733608.00;1395;Tarapacá ;PIT;1050;670;F;38;2;2;0;1;0;1;0;0;0;0;1;;;;;1;;deserto;oases
Standen et al 2021;Chile;Vale de Azapa ;Azapa_14;375393.00 ;7951291.00;278;;F_PIP;2950;1350;M;30;8;2;6;;;;;;;;;;;;;0;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_14;375393.00 ;7951291.00;278;;F_PIP;2950;1350;F;16;2;2;0;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_70;375393.00 ;7951291.00;278;;F_PIP;2950;1350;M;18;5;5;;;;;;;;;;;;;;0;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_70;375393.00 ;7951291.00;278;;F_PIP;2950;1350;F;12;1;1;0;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_71;375393.00 ;7951291.00;278;;F_PIP;2950;1350;M;23;6;2;4;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_71;375393.00 ;7951291.00;278;;F_PIP;2950;1350;F;29;7;5;1;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_75;375393.00 ;7951291.00;278;;F_PIP;2950;1350;M;20;4;2;2;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_75;375393.00 ;7951291.00;278;;F_PIP;2950;1350;F;21;3;1;1;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_115;375393.00 ;7951291.00;278;;F_PIP;2950;1350;M;9;0;0;0;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_115;375393.00 ;7951291.00;278;;F_PIP;2950;1350;F;8;1;0;1;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_122;375393.00 ;7951291.00;278;;F_PIP;2950;1350;M;1;0;0;0;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_122;375393.00 ;7951291.00;278;;F_PIP;2950;1350;F;3;0;0;0;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_146;375393.00 ;7951291.00;278;;F_PIP;2950;1350;M;3;3;0;3;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Azapa_146;375393.00 ;7951291.00;278;;F_PIP;2950;1350;F;0;0;0;0;;;;;;;;;;;;;;;deserto;vale
Standen et al 2021;Chile;Vale de Azapa ;Az_28614;375393.00 ;7951291.00;278;;F_PIP;2950;1350;M;1;1;0;1;;;;;;;;;;;;;;;deserto;vale
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;579248.86;8545412.33;2839;Pré_Wari_Huarpa;PIP;1700;1350;M;1;1;1;0;0;0;0;0;0;0;0;1;;;;;0;;frio_de_montanha;vale
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;579248.86;8545412.33;2839;Pré_Wari_Huarpa;PIP;1700;1350;F;4;2;2;0;0;0;0;0;0;0;0;0;;;;;0;;frio_de_montanha;vale
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;579248.86;8545412.33;2839;Pré_Wari_Huarpa;PIP;1700;1350;IND;6;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;frio_de_montanha;vale
Tung 2007, Tung 2012, Tung 2008;Peru;Ayacucho;Conchopata;579248.86;8545412.33;2839;Wari;HM;1300;1150;M;14;4;4;0;2;;;4;;;;;;;;;0;Estado;frio_de_montanha;vale
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;579248.86;8545412.33;2839;Wari;HM;1300;1150;F;25;6;6;0;0;;;7;;;;;;;;;0;Estado;frio_de_montanha;vale
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;579248.86;8545412.33;2839;Wari;HM;1300;1150;IND;5;0;0;0;0;0;0;0;0;0;0;0;;;;;0;Estado;frio_de_montanha;vale
Tung 2007 e Tung 2012;Peru;Terras altas centrais;Conchopata;579248.86;8545412.33;2839;Wari;HM;1300;1150;IND;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;Estado;frio_de_montanha;vale
Tung 2007 e Tung 2012;Peru;Vale de Majes;Beringa;771511.57;8206300.40;477;Wari;HM;1300;1150;IND;39;13;9;3;5;;;11;;;;;;;0;2;0;Estado;frio_de_montanha;vale
Tung 2007 e Tung 2012;Peru;Vale de Majes;La_Real;771511.57;8206300.40;477;Wari;HM;1300;1150;IND;104;32;27;3;27;;;13;;;;;;;4;5;0;Estado;frio_de_montanha;vale
Tung 2008;Peru;Ayacucho;Huari_Monqachayoq;579248.86;8545412.33;2839;pós-Wari;PIT;930;520;M;18;12;12;9;11;;;9;;;;11;5;6;5;6;1;;frio_de_montanha;vale
Tung 2008;Peru;Ayacucho;Huari_Monqachayoq;579248.86;8545412.33;2839;pós-Wari;PIT;930;520;F;11;9;8;4;16;;;7;;;;5;3;2;3;2;1;;frio_de_montanha;vale
Kurin 2012;Peru;Andahuayalas;Turpo;664896.84 ;8475670.78;3206;Wari;HM;1300;1150;M;11;2;2;0;3;0;2;1;1;0;1;0;0;0;0;0;;;;
Kurin 2012;Peru;Andahuayalas;Turpo;664896.84 ;8475670.78;3206;Wari;HM;1300;1150;F;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
Kurin 2012;Peru;Andahuayalas;Turpo;664896.84 ;8475670.78;3206;Wari;HM;1300;1150;IND;;;;;;;;;;;;;;;;;0;Estado;frio_de_montanha;Colina
Kurin 2012;Peru;Andahuayalas;Pucullu;676574.28;8496364.15;3006;Quechua;PIT;950;400;M;15;12;;;11;;;2;;;;7;3;4;5;2;0;;frio_de_montanha;Colina
Kurin 2012;Peru;Andahuayalas;Pucullu;676574.28;8496364.15;3006;Quechua;PIT;950;400;F;10;5;;0;2;;;8;;;;0;0;0;0;0;0;;frio_de_montanha;Colina
Kurin 2012;Peru;Andahuayalas;Ranracancha;652068.68;8503043.89;3416;Chanka;PIT;950;400;M;19;11;;;13;;;5;;;;11;8;3;6;5;0;;frio_de_montanha;Colina
Kurin 2012;Peru;Andahuayalas;Ranracancha;652068.68;8503043.89;3416;Chanka;PIT;950;400;F;17;11;;;4;;;4;;;;4;4;0;3;1;0;;frio_de_montanha;Colina
Kurin 2012;Peru;Andahuayalas;Ranracancha;652068.68;8503043.89;3416;Chanka;PIT;950;400;IND;1;1;0;1;0;0;0;1;;;;0;0;0;0;0;0;;frio_de_montanha;Colina
Kurin 2012;Peru;Andahuayalas;Cachi;650047.00;8477059.00;319;Chanka;PIT;950;400;M;63;36;;;24;;;10;;;;25;13;12;13;12;;;frio_de_montanha;vale
Kurin 2012;Peru;Andahuayalas;Cachi;650047.00;8477059.00;319;Chanka;PIT;950;400;F;72;45;;;27;;;11;;;;34;20;14;17;17;;;frio_de_montanha;vale
Kurin 2012;Peru;Andahuayalas;Cachi;650047.00;8477059.00;319;Chanka;PIT;950;400;IND;27;3;;;4;;;1;;;;2;1;1;1;1;;;frio_de_montanha;vale
Kurin 2012;Peru;Andahuayalas;Natividad_Museum_collection;659135.65;8478409.38;3049;Chanka;PIT;950;400;M;16;11;;;2;;;3;;;;3;3;0;1;2;;;frio_de_montanha;vale
Kurin 2012;Peru;Andahuayalas;Natividad_Museum_collection;659135.65;8478409.38;3049;Chanka;PIT;950;400;IND;3;3;1;2;1;;;0;;;;1;0;1;1;0;;;frio_de_montanha;vale
Sacaffidi e Tung 2020;Peru;Vale de Majes;Uraca;759998.72;8204907.90;1173;Wari inicial;PIP_HM;1650;1200;M;65;52;48;5;67;17;3;21;2;;;22;22;0;;;0;Estado;;vale
Sacaffidi e Tung 2020;Peru;Vale de Majes;Uraca;759998.72;8204907.90;1173;Wari inicial;PIP_HM;1650;1200;IND;34;15;15;0;14;6;1;8;1;;;1;1;0;;;0;Estado;;vale
Pecheckinna e Delgado 2006;Peru;Vale de Lurín;Villa_El_Salvador_XII;287513.00;8649832.00;115;Villa El Salvador XII;PIP;2050;1850;M;30;6;;;;;;;;;;;;;;;0;;deserto;Costa
Pecheckinna e Delgado 2006;Peru;Vale de Lurín;Villa_El_Salvador_XII;287513.00;8649832.00;115;Villa El Salvador XII;PIP;2050;1850;F;31;3;;;;;;;;;;;;;;;0;;deserto;Costa
McCool et al 2021;Peru;Vale Aja;Ayaorcco;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;M;28;10;7;3;;;;1;;;;;;;;;;;;vale
McCool et al 2021;Peru;Tierras Blancas;Ayapata;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;M;54;37;32;7;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Las Trancas;C. Tribolpata;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;M;9;4;4;1;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Vale Aja;Ayaorcco;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;F;33;8;6;3;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Tierras Blancas;Ayapata;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;F;50;20;16;8;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Las Trancas;C. Tribolpata;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;F;14;6;5;2;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Vale Aja;Ayaorcco;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;IND;10;3;3;0;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Tierras Blancas;Ayapata;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;IND;6;4;4;2;;;;;;;;;;;;;;;;
McCool et al 2021;Peru;Las Trancas;C. Tribolpata;509471.05;8363157.49 ;881;Nasca;PIT;1000;500;IND;3;0;0;0;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
